MACH,MaSanPham,SoLuongTrenKe,SoLuongTrongKho,NgayCapNhat
CH3,SP300,36,96,06-03-2025 08:31
CH3,SP283,24,97,05-02-2023 14:29
CH3,SP231,3,115,15-03-2025 03:15
CH3,SP176,25,187,11-05-2023 13:02
CH3,SP180,41,115,02-12-2023 19:29
CH3,SP267,94,295,20-06-2023 19:15
CH3,SP282,55,191,23-02-2024 07:59
CH3,SP055,100,292,27-04-2023 17:32
CH3,SP154,56,232,26-10-2023 20:16
CH3,SP132,79,337,20-01-2023 03:21
CH3,SP253,27,130,20-12-2025 13:01
CH3,SP228,58,96,01-11-2025 09:53
CH3,SP230,31,287,07-05-2023 00:20
CH3,SP260,19,194,19-01-2024 20:25
CH3,SP107,76,136,06-06-2023 18:32
CH3,SP003,45,105,06-09-2024 02:53
